State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,05/04/2025,1000,2000,1500
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Amruthapani,Large,05/04/2025,2600,3200,2700
"Andhra Pradesh",Guntur,Tenali,Lemon,Lemon,FAQ,05/04/2025,7500,10000,8500
"Andhra Pradesh","West Godavari",Denduluru,Lime,Lime,Medium,05/04/2025,4000,11000,7000
Assam,Barpeta,"Barpeta Road","Bitter gourd","Bitter Gourd",Local,05/04/2025,1800,2000,2000
Assam,Cachar,Fatakbazar,Cabbage,Cabbage,Local,05/04/2025,1100,1200,1100
Assam,Cachar,Fatakbazar,Capsicum,Capsicum,Local,05/04/2025,2000,2200,2100
Assam,Cachar,Fatakbazar,"French Beans (Frasbean)","French Beans (Frasbean)",Local,05/04/2025,2000,2100,2000
Assam,Dhubri,Bilasipara,"Green Chilli","Green Chilly",Local,05/04/2025,2600,3000,3000
Assam,Goalpara,Jaleswar,Beans,"Beans (Whole)",Local,05/04/2025,1500,1800,1500
Assam,Goalpara,Jaleswar,Beetroot,Beetroot,Local,05/04/2025,2000,2400,2400
Assam,Goalpara,Jaleswar,"Bitter gourd","Bitter Gourd",Local,05/04/2025,2200,2800,2600
Assam,Golaghat,Golaghat,Ginger(Green),"Green Ginger",Local,05/04/2025,3600,4000,4000
Assam,Kamrup,"Brahmaputra Private Market",Cabbage,Cabbage,Local,05/04/2025,800,900,800
Assam,Kamrup,"Brahmaputra Private Market",Cauliflower,Cauliflower,Local,05/04/2025,1100,1300,1200
Assam,Kamrup,"Brahmaputra Private Market","Green Chilli","Green Chilly",Local,05/04/2025,2600,2800,2700
Assam,Kamrup,Pamohi(Garchuk),"Bottle gourd","Bottle Gourd",Local,05/04/2025,933.38,1066.72,1000.05
Assam,Kamrup,Pamohi(Garchuk),Cabbage,Cabbage,Local,05/04/2025,800,900,800
Assam,Kokrajhar,Gossaigaon,Lemon,Lemon,Local,05/04/2025,2534.6,2668,2534.6
Assam,Lakhimpur,Ghilamara,Ginger(Green),"Green Ginger",Local,05/04/2025,3500,4000,4000
Assam,MORIGAON,Moirabari,Capsicum,Capsicum,Local,05/04/2025,1400,1500,1400
Assam,MORIGAON,Moirabari,Ginger(Green),"Green Ginger",Local,05/04/2025,4000,4400,4200
Assam,Nagaon,Haibargaon,Capsicum,Capsicum,Local,05/04/2025,1400,1600,1600
Assam,Nagaon,Haibargaon,Cauliflower,Cauliflower,Local,05/04/2025,1500,1600,1500
Assam,Nagaon,Haibargaon,"French Beans (Frasbean)","French Beans (Frasbean)",Local,05/04/2025,1500,1600,1600
Assam,Nagaon,Haibargaon,Lemon,Lemon,Local,05/04/2025,2334.5,2801.4,2401.2
Assam,Nagaon,Haibargaon,Pumpkin,Pumpkin,Local,05/04/2025,1100,1200,1200
Assam,Nalbari,Dhamdhama,Brinjal,Brinjal,Local,05/04/2025,1000,1400,1200
Assam,Nalbari,Dhamdhama,Lemon,Lemon,Local,05/04/2025,2001,2134.4,2001
Assam,Nalbari,Nalbari,Banana,Other,Local,05/04/2025,2000,4800,4600
Assam,Nalbari,Nalbari,Capsicum,Capsicum,Local,05/04/2025,1600,2400,2000
Assam,Nalbari,Nalbari,"Green Chilli","Green Chilly",Local,05/04/2025,3400,4000,3600
Assam,Sibsagar,Sibsagar,Capsicum,Capsicum,Local,05/04/2025,2000,2300,2300
Assam,Sonitpur,Dhekiajuli,Potato,Potato,Local,05/04/2025,800,900,900
Bihar,Bhojpur,Aarah,Potato,Jyoti,FAQ,05/04/2025,1500,1700,1600
Bihar,Madhubani,Jainagar,Onion,Medium,FAQ,05/04/2025,3800,4000,3900
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,05/04/2025,1000,2000,1600
Chattisgarh,Raigarh,Raigarh,Potato,Potato,Non-FAQ,05/04/2025,1200,1800,1500
Goa,"North Goa",Mapusa,Banana,Other,Medium,05/04/2025,2500,3500,3000
Gujarat,Ahmedabad,Ahmedabad,"Bottle gourd",Other,FAQ,05/04/2025,1000,2500,1750
Gujarat,Ahmedabad,Ahmedabad,Ginger(Green),Other,FAQ,05/04/2025,3500,4500,4000
Gujarat,Ahmedabad,Ahmedabad,Guar,Other,FAQ,05/04/2025,4000,7000,5500
Gujarat,Ahmedabad,Ahmedabad,"Onion Green",Other,FAQ,05/04/2025,800,1200,1000
Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,05/04/2025,5250,7325,7000
Gujarat,Ahmedabad,Viramgam,Mustard,Mustard,Non-FAQ,05/04/2025,5350,5410,5380
Gujarat,Amreli,Bagasara,"Corriander seed","A-1, Green",FAQ,05/04/2025,4500,6750,5625
Gujarat,Amreli,Damnagar,"Bhindi(Ladies Finger)",Bhindi,FAQ,05/04/2025,4250,5050,4800
Gujarat,Amreli,Damnagar,"Green Chilli","Green Chilly",FAQ,05/04/2025,1200,2050,1850
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,05/04/2025,9750,10500,9900
Gujarat,Amreli,Dhari,"Corriander seed","Coriander Seed",FAQ,05/04/2025,5505,7350,6500
Gujarat,Amreli,Dhari,Soyabean,Local,Non-FAQ,05/04/2025,3500,3755,3625
Gujarat,Amreli,Savarkundla,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,05/04/2025,5450,5705,5600
Gujarat,Amreli,Savarkundla,"Castor Seed","Castor seed",FAQ,05/04/2025,5750,5950,5850
Gujarat,Amreli,Savarkundla,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,05/04/2025,21100,23500,22500
Gujarat,Amreli,Savarkundla,Jowar(Sorghum),"Jowar ( White)",FAQ,05/04/2025,2500,4175,3605
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,05/04/2025,9250,10560,9750
Gujarat,Anand,"Anand(Veg,Yard,Anand)","Bottle gourd","Bottle Gourd",FAQ,05/04/2025,1000,1500,1250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cabbage,Cabbage,FAQ,05/04/2025,200,250,225
Gujarat,Anand,Borsad,Wheat,Other,FAQ,05/04/2025,2425,2450,2437.5
Gujarat,Anand,"Khambhat(Grain Market)",Paddy(Dhan)(Common),Paddy,FAQ,05/04/2025,2500,3150,3000
Gujarat,Banaskanth,Deesa,Mustard,Other,FAQ,05/04/2025,5250,5625,5450
Gujarat,Banaskanth,Deesa,Rajgir,Other,FAQ,05/04/2025,5000,5605,5450
Gujarat,Banaskanth,Deesa,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,05/04/2025,8075,8075,8075
Gujarat,Banaskanth,Deesa,Wheat,Other,FAQ,05/04/2025,2355,3200,3000
Gujarat,Banaskanth,Deesa(Bhildi),Rajgir,Other,FAQ,05/04/2025,5000,5500,5350
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Bhindi(Ladies Finger)",Other,FAQ,05/04/2025,2500,5150,3825
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Bitter gourd",Other,FAQ,05/04/2025,2500,3250,2875
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Brinjal,Other,FAQ,05/04/2025,1000,1400,1200
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Green Chilli",Other,FAQ,05/04/2025,3000,3800,3400
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Guar,Other,FAQ,05/04/2025,4000,6700,5350
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Onion,Other,FAQ,05/04/2025,1750,2300,2025
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Papaya,Other,Medium,05/04/2025,2000,2700,2350
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Peas cod",Other,FAQ,05/04/2025,4500,5200,4850
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Pineapple,Other,Medium,05/04/2025,6500,7200,6850
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Pomegranate,Other,Medium,05/04/2025,10000,12700,11350
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Tomato,Other,FAQ,05/04/2025,250,700,475
Gujarat,Banaskanth,Dhanera,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,05/04/2025,2500,2840,2730
Gujarat,Banaskanth,Dhanera,"Cummin Seed(Jeera)",Other,FAQ,05/04/2025,16500,23060,20540
Gujarat,Banaskanth,Dhanera,"Isabgul (Psyllium)",Other,FAQ,05/04/2025,8750,13325,11420
Gujarat,Banaskanth,Dhanera,Mataki,Other,FAQ,05/04/2025,3755,4775,4265
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,05/04/2025,5000,5165,5100
Gujarat,Banaskanth,Palanpur,Soanf,Other,FAQ,05/04/2025,6500,28075,17287
Gujarat,Banaskanth,Palanpur,Wheat,Other,FAQ,05/04/2025,2300,2880,2590
Gujarat,Banaskanth,Thara,Mustard,Other,Non-FAQ,05/04/2025,5130,5675,5402.5
Gujarat,Banaskanth,Thara,Wheat,Other,FAQ,05/04/2025,2250,2920,2585
Gujarat,Banaskanth,Vadgam,Mustard,Other,FAQ,05/04/2025,5460,5540,5510
Gujarat,Banaskanth,Vadgam,Wheat,"Lokwan Gujrat",FAQ,05/04/2025,2225,2625,2555
Gujarat,Banaskanth,Vav,"Castor Seed",Other,FAQ,05/04/2025,6000,6130,6100
Gujarat,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,05/04/2025,500,1000,800
